City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Glamsbjerg,DK,55.2724,10.1048,65.64,90,55,10.07,broken clouds
1,Mayo,US,38.8876,-76.5119,80.94,80,75,3.44,broken clouds
2,San%20Patricio,US,28.017,-97.5169,86.54,71,100,11.95,overcast clouds
3,Vanavara,RU,60.34,102.2797,47.68,87,100,2.98,overcast clouds
4,Bluff,NZ,-46.6,168.3333,47.21,66,50,21.68,scattered clouds
5,Kodiak,US,57.79,-152.4072,54.91,94,100,11.5,light rain
6,Barrow,US,71.2906,-156.7887,41.02,93,100,11.5,mist
7,Faanui,PF,-16.4833,-151.75,76.98,78,11,13.58,few clouds
8,Talnakh,RU,69.4865,88.3972,58.21,94,100,7.36,light rain
9,Rikitea,PF,-23.1203,-134.9692,70.7,72,71,17.29,broken clouds
10,Puerto%20Ayora,EC,-0.7393,-90.3518,66.54,94,70,5.99,broken clouds
11,Badhni%20Kalan,IN,30.6833,75.2833,79.12,85,0,8.95,clear sky
12,Vardo,NO,70.3705,31.1107,49.98,71,100,18.41,overcast clouds
13,Labuhan,ID,-6.8844,112.2051,81.03,67,100,5.84,overcast clouds
14,Punta%20Arenas,CL,-53.15,-70.9167,41.11,75,40,17.27,scattered clouds
15,Ushuaia,AR,-54.8,-68.3,40.66,87,40,5.75,scattered clouds
16,Gonbad-E%20Qabus,IR,37.25,55.1672,71.51,64,0,4.61,clear sky
17,Chokurdakh,RU,70.6333,147.9167,43.59,80,100,11.32,overcast clouds
18,Busselton,AU,-33.65,115.3333,54.95,64,100,12.01,overcast clouds
19,Saskylakh,RU,71.9167,114.0833,39.25,83,100,12.26,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,46.58,83,31,10.31,scattered clouds
21,Codrington,AU,-38.2667,141.9667,50.09,86,100,16.2,overcast clouds
22,Carnarvon,AU,-24.8667,113.6333,70.5,26,34,16.89,scattered clouds
23,Kaitangata,NZ,-46.2817,169.8464,49.96,67,17,15.03,few clouds
24,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,67,100,12.66,overcast clouds
25,Port%20Alfred,ZA,-33.5906,26.891,67.8,45,0,10.94,clear sky
26,East%20London,ZA,-33.0153,27.9116,65.01,48,0,10.11,clear sky
27,Shangqiu,CN,34.45,115.65,77.56,46,6,7.34,clear sky
28,Ambam,CM,2.3833,11.2833,68.25,99,100,2.98,light rain
29,Tanout,NE,14.9709,8.8879,80.64,61,43,15.46,light rain
30,Iquique,CL,-20.2208,-70.1431,57.24,74,47,4.12,scattered clouds
31,Qaanaaq,GL,77.484,-69.3632,30.78,62,0,6.29,clear sky
32,Yellowknife,CA,62.456,-114.3525,59.56,36,75,11.5,broken clouds
33,Georgetown,MY,5.4112,100.3354,82.33,86,20,5.01,few clouds
34,Castro,BR,-24.7911,-50.0119,50.34,96,3,5.08,clear sky
35,Butaritari,KI,3.0707,172.7902,82.27,66,100,15.37,overcast clouds
36,Broome,US,42.2506,-75.833,68.7,95,20,3.44,few clouds
37,Arys,KZ,42.4252,68.795,68.11,23,0,5.55,clear sky
38,Severo-Kurilsk,RU,50.6789,156.125,55.99,97,100,12.95,light rain
39,Hermanus,ZA,-34.4187,19.2345,60.8,54,14,7.9,few clouds
40,Kapaa,US,22.0752,-159.319,84.52,74,75,14.97,broken clouds
41,Hofn,IS,64.2539,-15.2082,49.41,79,100,19.8,light rain
